"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1","1-800 CONTACTS","Health Services","Health","Optical services (glasses & contact lenses)",100,0,"#0000FFAF","#0000FFAF",3500
"100247","SANTA CLARA COUNTY DEMOCRATIC CENTRAL CMTE OF CALIFORNIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1775
"10041","ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",31.8367346938775,68.1632653061224,"#610000AF","#610000AF",49000
"10063","APPLIED MATERIALS","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",35.7156136275792,64.2843863724208,"#4D0000AF","#4D0000AF",61912.39
"10129","AMERICAN ASSOCIATION OF PUBLISHERS","Printing & Publishing","Communications & Electronics","Book, newspaper & periodical publishing",50,50,"#000000AF","#000000AF",4000
"10131","ASSOCIATION OF CALIFORNIA STATE SUPERVISORS","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",41100
"10149","ASTELLAS PHARMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",14400
"1017","FIDELITY INVESTMENTS","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",60,40,"#000033AF","#000033AF",5000
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",8800
"10223","BANK OF STOCKTON","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",5.37634408602151,94.6236559139785,"#E60000AF","#E60000AF",4650
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",42.6666666666667,57.3333333333333,"#290000AF","#290000AF",18750
"10358","BERRY PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",50,50,"#000000AF","#000000AF",2000
"1039","NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",67.2268907563025,32.7731092436975,"#000057AF","#000057AF",17850
"10395","SAN DIEGO BIOTECHNOLOGY","Pharmaceuticals & Health Products","Health","Biotech products & research",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",11000
"10450","BLUE SHIELD OF CALIFORNIA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",48.6666666666667,51.3333333333333,"#0A0000AF","#0A0000AF",30000
"105204","ROUDA FEDER TIETJEN & MCGUINN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",10035.25
"10653536","VERTEX PHARMACEUTICALS","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",100,0,"#0000FFAF","#0000FFAF",2000
"10670","BURRTEC WASTE INDUSTRIES","Waste Management","Energy & Natural Resources","Waste management",0,100,"#FF0000AF","#FF0000AF",10500
"10675006","TRACFONE WIRELESS","Telecom Services & Equipment","Communications & Electronics","Paging & cellular phones and services",50,50,"#000000AF","#000000AF",5000
"10707","CALIFORNIA ACADEMY OF EYE PHYSICIANS & SURGEONS","Health Professionals","Health","Optometrists & ophthalmologists",39.3501805054152,60.6498194945848,"#380000AF","#380000AF",27700
"10708","CALIFORNIA ACADEMY OF FAMILY PHYSICIANS","Health Professionals","Health","Physicians",80.552616839878,19.447383160122,"#000099AF","#000099AF",12855.2
"10710","CALIFORNIA ACADEMY OF PHYSICIAN ASSISTANTS","Health Professionals","Health","Other non-physician health practitioners",78.8135593220339,21.1864406779661,"#00008FAF","#00008FAF",11800
"10713","CALIFORNIA ALARM ASSOCIATION","Business Services","General Business","Security services",60,40,"#000033AF","#000033AF",5000
"10716","CALIFORNIANS ALLIED FOR PATIENT PROTECTION","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",81.6862267077516,18.3137732922484,"#00009EAF","#00009EAF",32216.19
"10717","CALIFORNIA AMBULANCE ASSOCIATION","Health Services","Health","Health care services",61.4035087719298,38.5964912280702,"#000038AF","#000038AF",14250
"10721","CALIFORNIA ASSISTED LIVING ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",78.2837127845884,21.7162872154116,"#00008FAF","#00008FAF",57100
"10724","CALIFORNIA ASSOCIATION FOR THE GIFTED","Education","Government Agencies/Education/Other","Education",88.8888888888889,11.1111111111111,"#0000C2AF","#0000C2AF",2700
"10725","CALIFORNIA ASSOCIATION OF COLLECTORS","Miscellaneous Finance","Finance, Insurance & Real Estate","Credit reporting services & collection agencies",37.5,62.5,"#420000AF","#420000AF",20000
"10726","CALIFORNIA ASSOCIATION OF COMMUNITY MANAGERS","Civil Servants/Public Officials","Government Agencies/Education/Other","Municipal & county government organizations",55.045871559633,44.954128440367,"#00001AAF","#00001AAF",10900
"10733","CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS","Health Professionals","Health","Health professionals",50,50,"#000000AF","#000000AF",7800
"10734","CALIFORNIA ASSOCIATION OF PROFESSIONAL LIABILITY INSURERS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"10736","CALIFORNIA ASSOCIATION OF SHEET METAL & AIR CONDITIONER CONTRACTORS","Special Trade Contractors","Construction","Plumbing, heating & air conditioning",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",4500
